,title
13927,(500) Days of Summer ( 2009 )
37135,10 Cloverfield Lane ( 2016 )
2465,10 Things I Hate About You ( 1999 )
6054,10 to Midnight ( 1983 )
12480,"10,000 BC ( 2008 )"
1325,101 Dalmatians ( 1996 )
3873,102 Dalmatians ( 2000 )
12152,10th & Wolf ( 2006 )
12243,12 ( 2007 )
1168,12 Angry Men ( 1957 )
14035,12 Rounds ( 2009 )
21929,12 Years a Slave ( 2013 )
16119,127 Hours ( 2010 )
16998,13 Assassins ( 2010 )
7301,13 Going on 30 ( 2004 )
31517,13 Hours: The Secret Soldiers of Benghazi ( 2016 )
23154,13 Sins ( 2014 )
11957,1408 ( 2007 )
8208,1492: Conquest of Paradise ( 1992 )
4048,15 Minutes ( 2001 )
10851,16 Blocks ( 2006 )
13653,17 Again ( 2009 )
23617,17 Girls ( 2011 )
20018,1911 ( 2011 )
6976,1941 ( 1979 )
19246,2 Days in New York ( 2012 )
6262,2 Fast 2 Furious ( 2003 )
21390,2 Guns ( 2013 )
13042,"20,000 Leagues Under the Sea ( 1916 )"
997,"20,000 Leagues Under the Sea ( 1954 )"
2397,200 Cigarettes ( 1999 )
901,2001: A Space Odyssey ( 1968 )
2204,2010 ( 1984 )
14478,2012 ( 2009 )
19554,2016: Obama's America ( 2012 )
9240,2046 ( 2004 )
25065,20th Century Boys - Chapter 1: Beginning of the End ( 2008 )
42549,20th Century Women ( 2016 )
20509,21 & Over ( 2013 )
12547,21 ( 2008 )
6826,21 Grams ( 2003 )
18783,21 Jump Street ( 2012 )
23598,22 Jump Street ( 2014 )
44145,24 ( 2016 )
5838,25th Hour ( 2002 )
12339,27 Dresses ( 2008 )
6377,28 Days Later ( 2002 )
11855,28 Weeks Later ( 2007 )
37940,3 Braves ( 2015 )
22942,3 Days to Kill ( 2014 )
32221,3 Generations ( 2016 )
8479,3 Godfathers ( 1948 )
14794,3 Idiots ( 2009 )
3213,3 Strikes ( 2000 )
12136,30 Days of Night ( 2007 )
17667,30 Minutes or Less ( 2011 )
11702,300 ( 2006 )
4040,3000 Miles to Graceland ( 2001 )
22974,300: Rise of an Empire ( 2014 )
41477,31 ( 2016 )
12082,3:10 to Yuma ( 2007 )
12093,"4 Months, 3 Weeks and 2 Days ( 2007 )"
19146,4.3.2.1 ( 2010 )
20817,42 ( 2013 )
6952,42nd Street ( 1933 )
40658,47 Meters Down ( 2017 )
22109,47 Ronin ( 2013 )
4932,48 Hrs. ( 1982 )
19087,5 Days of War ( 2011 )
30351,5 Flights Up ( 2014 )
7164,50 First Dates ( 2004 )
29540,50 to 1 ( 2014 )
17911,50/50 ( 2011 )
2085,54 ( 1998 )
10473,55 Days at Peking ( 1963 )
16832,71: Into the Fire ( 2010 )
39496,7Aum Arivu ( 2011 )
5691,8 Mile ( 2002 )
11880,88 Minutes ( 2007 )
2398,8MM ( 1999 )
14179,9 ( 2009 )
10114,9 Songs ( 2004 )
36809,90 Minutes in Heaven ( 2015 )
38037,99 ( 2009 )
27896,99 Homes ( 2014 )
11399,9th Company ( 2005 )
4878,A Beautiful Mind ( 2001 )
17796,A Better Life ( 2011 )
7577,A Bridge Too Far ( 1977 )
423,A Bronx Tale ( 1993 )
2248,A Bug's Life ( 1998 )
14456,A Christmas Carol ( 2009 )
7943,A Cinderella Story ( 2004 )
2326,A Civil Action ( 1998 )
1170,A Clockwork Orange ( 1971 )
20570,A Coffee in Berlin ( 2012 )
29670,A Company Man ( 2012 )
40928,A Conspiracy of Faith ( 2016 )
6058,A Countess from Hong Kong ( 1967 )
3102,A Cry in the Dark ( 1988 )
42881,A Cure for Wellness ( 2017 )
17885,A Dangerous Method ( 2011 )
8175,A Dirty Shame ( 2004 )
42766,A Dog's Purpose ( 2017 )
30074,A Driver for Vera ( 2004 )
953,A Farewell to Arms ( 1932 )
19101,A Few Best Men ( 2011 )
2162,A Few Good Men ( 1992 )
1054,A Fish Called Wanda ( 1988 )
2844,A Fistful of Dollars ( 1964 )
43259,A Ghost Story ( 2017 )
25501,A Girl Walks Home Alone at Night ( 2014 )
20506,A Good Day to Die Hard ( 2013 )
11434,A Good Year ( 2006 )
8441,A Guy Named Joe ( 1944 )
5899,A Guy Thing ( 2003 )
2756,A Hard Day's Night ( 1964 )
20283,A Haunted House ( 2013 )
10418,A History of Violence ( 2005 )
39480,A Hologram for the King ( 2016 )
7967,A Home at the End of the World ( 2004 )
4168,A Home of Our Own ( 1993 )
4181,A Knight's Tale ( 2001 )
3146,A League of Their Own ( 1992 )
39600,A Little Night Music ( 2002 )
18799,A Lonely Place to Die ( 2011 )
10036,A Lot Like Love ( 2005 )
382,A Low Down Dirty Shame ( 1994 )
6166,A Man Apart ( 2003 )
1846,A Man for All Seasons ( 1966 )
11956,A Mighty Heart ( 2007 )
6182,A Mighty Wind ( 2003 )
41555,A Monster Calls ( 2016 )
25510,A Most Violent Year ( 2014 )
23825,A Most Wanted Man ( 2014 )
