,title,genres,genres_list,release_date,budget,revenue,tmdbid,imdbid,runtime,vote_average,vote_count,keywords,keywords_list
0,Toy Story ( 1995 ),Animation|Comedy|Family,"['Animation', 'Comedy', 'Family']",1995-10-30,30000000,373554033,862,862,81.0,7.7,5415,jealousy|toy|boy|friendship|friends|rivalry|boy next door|new toy|toy comes to life,"['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']"
1,Jumanji ( 1995 ),Adventure|Fantasy|Family,"['Adventure', 'Fantasy', 'Family']",1995-12-15,65000000,262797249,8844,8844,104.0,6.9,2413,board game|disappearance|based on children's book|new home|recluse|giant insect,"['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']"
3,Waiting to Exhale ( 1995 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",1995-12-22,16000000,81452156,31357,31357,127.0,6.1,34,based on novel|interracial relationship|single mother|divorce|chick flick,"['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']"
5,Heat ( 1995 ),Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']",1995-12-15,60000000,187436818,949,949,170.0,7.7,1886,robbery|detective|bank|obsession|chase|shooting|thief|honor|murder|suspense|heist|betrayal|money|gang|cat and mouse|criminal mastermind|cult film|ex-con|heist movie|one last job|loner|bank job|neo-noir|gun fight|crime epic,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']"
8,Sudden Death ( 1995 ),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",1995-12-22,35000000,64350171,9091,9091,106.0,5.5,174,terrorist|hostage|explosive|vice president,"['terrorist', 'hostage', 'explosive', 'vice president']"
9,GoldenEye ( 1995 ),Adventure|Action|Thriller,"['Adventure', 'Action', 'Thriller']",1995-11-16,58000000,352194034,710,710,130.0,6.6,1194,cuba|falsely accused|secret identity|computer virus|secret base|secret intelligence service|kgb|satellite|special car|cossack|electromagnetic pulse|time bomb|st. petersburg russia|ejection seat|red army,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']"
10,The American President ( 1995 ),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",1995-11-17,62000000,107879496,9087,9087,106.0,6.5,199,white house|usa president|new love|widower|wildlife conservation,"['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']"
13,Nixon ( 1995 ),History|Drama,"['History', 'Drama']",1995-12-22,44000000,13681765,10858,10858,192.0,7.1,72,usa president|presidential election|watergate scandal|biography|government|historical figure,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']"
14,Cutthroat Island ( 1995 ),Action|Adventure,"['Action', 'Adventure']",1995-12-22,98000000,10017322,1408,1408,119.0,5.7,137,exotic island|treasure|map|ship|scalp|pirate,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']"
15,Casino ( 1995 ),Drama|Crime,"['Drama', 'Crime']",1995-11-22,52000000,116112375,524,524,178.0,7.8,1343,poker|drug abuse|1970s|overdose|illegal prostitution,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']"
16,Sense and Sensibility ( 1995 ),Drama|Romance,"['Drama', 'Romance']",1995-12-13,16500000,135000000,4584,4584,136.0,7.2,364,bowling|based on novel|servant|country life|jane austen|inheritance|military officer|period drama|rainstorm|horse and carriage|decorum,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']"
17,Four Rooms ( 1995 ),Crime|Comedy,"['Crime', 'Comedy']",1995-12-09,4000000,4300000,5,5,98.0,6.5,539,hotel|new year's eve|witch|bet|hotel room|sperm|los angeles|hoodlum|woman director|episode film,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']"
18,Ace Ventura: When Nature Calls ( 1995 ),Crime|Comedy|Adventure,"['Crime', 'Comedy', 'Adventure']",1995-11-10,30000000,212385533,9273,9273,90.0,6.1,1128,africa|indigenous|human animal relationship|bat,"['africa', 'indigenous', 'human animal relationship', 'bat']"
19,Money Train ( 1995 ),Action|Comedy|Crime,"['Action', 'Comedy', 'Crime']",1995-11-21,60000000,35431113,11517,11517,103.0,5.4,224,brother brother relationship|subway|new york city|new york subway|train robbery,"['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']"
20,Get Shorty ( 1995 ),Comedy|Thriller|Crime,"['Comedy', 'Thriller', 'Crime']",1995-10-20,30250000,115101622,8012,8012,105.0,6.4,305,gambling|miami|based on novel|job|murder|travel|mafia|money|debt|mobster|business|hollywood|gangster|crime|violence|drug|producer|con,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']"
22,Assassins ( 1995 ),Action|Adventure|Crime|Thriller,"['Action', 'Adventure', 'Crime', 'Thriller']",1995-10-06,50000000,30303072,9691,9691,132.0,6.0,394,competition|assassination|cia|bank|cat|mexican standoff|seattle|hitman|mission of murder|hidden camera|rivalry|rescue|shootout|police chase|sniper rifle|silencer|double cross|caribbean|detroit michigan,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']"
24,Leaving Las Vegas ( 1995 ),Drama|Romance,"['Drama', 'Romance']",1995-10-27,3600000,49800000,451,451,112.0,7.1,365,individual|prostitute|alcohol|casino|love at first sight|lovesickness|film producer|screenwriter|hotel room|dying and death|rage and hate|unsociability|alcoholism|los angeles|alcohol abuse|attempted suicide,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']"
26,Now and Then ( 1995 ),Comedy|Drama|Family,"['Comedy', 'Drama', 'Family']",1995-10-20,12000000,27400000,9263,9263,100.0,6.6,91,1970s|female friendship|coming of age|gynecologist|photocopier|truth or dare|woman director,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']"
